a.user,a.choice,b.user,b.choice,end
chthonicirrigation,Swerve,harambe_milkbabys,Hit the gas,/u/harambe_milkbabys gets to call /u/chthonicirrigation a chicken.
ctclif,Hit the gas,the_kazaakplethkilik,Swerve,/u/ctclif gets to call /u/the_kazaakplethkilik a chicken.
thewalkinggnome,Hit the gas,blmzd,Swerve,/u/thewalkinggnome gets to call /u/blmzd a chicken.
grkpgn,Swerve,mistressliliana,Swerve,Both /u/grkpgn and /u/mistressliliana safely swerve.
nat-cat,Swerve,omega_weapon85,Hit the gas,/u/omega_weapon85 gets to call /u/nat-cat a chicken.
twitchy775,Hit the gas,rthztzfhuztfhu,Swerve,/u/twitchy775 gets to call /u/rthztzfhuztfhu a chicken.
internet_friends,Hit the gas,p0tet,Hit the gas,Both /u/internet_friends and /u/p0tet crash and die.
ginopono,Hit the gas,triplesock,Swerve,/u/ginopono gets to call /u/triplesock a chicken.
thomas6785,Swerve,-pikajew,Hit the gas,/u/-pikajew gets to call /u/thomas6785 a chicken.
rara623,Swerve,telepac,Hit the gas,/u/telepac gets to call /u/rara623 a chicken.
krtkneki,Hit the gas,lokmanohands,Hit the gas,Both /u/krtkneki and /u/lokmanohands crash and die.
bobito5,Hit the gas,elitepenguin4,Hit the gas,Both /u/bobito5 and /u/elitepenguin4 crash and die.
gintarazimu,Swerve,dalibar,Swerve,Both /u/gintarazimu and /u/dalibar safely swerve.
redpon3,Hit the gas,legosp7,Hit the gas,Both /u/redpon3 and /u/legosp7 crash and die.
jverkovykh,Hit the gas,survivevivrus,Swerve,/u/jverkovykh gets to call /u/survivevivrus a chicken.
craggolly,Hit the gas,shining_,Swerve,/u/craggolly gets to call /u/shining_ a chicken.
edihau,Swerve,eyebrowsforeveryone,Swerve,Both /u/edihau and /u/eyebrowsforeveryone safely swerve.
seriyes,Swerve,bewaretwo,Swerve,Both /u/seriyes and /u/bewaretwo safely swerve.
steaknsteak,Swerve,toastiify,Hit the gas,/u/toastiify gets to call /u/steaknsteak a chicken.
400_lux,Swerve,tridentboy,Hit the gas,/u/tridentboy gets to call /u/400_lux a chicken.
jaclekiller,Swerve,balletscience,Swerve,Both /u/jaclekiller and /u/balletscience safely swerve.
yusaharri,Swerve,pili_in_ibiza,Swerve,Both /u/yusaharri and /u/pili_in_ibiza safely swerve.
latdropking,Swerve,klatuu_barada_nikto,Swerve,Both /u/latdropking and /u/klatuu_barada_nikto safely swerve.
ravistay,Hit the gas,thatwriterfriend,Swerve,/u/ravistay gets to call /u/thatwriterfriend a chicken.
valske,Hit the gas,pm_meyourcoffee,Hit the gas,Both /u/valske and /u/pm_meyourcoffee crash and die.
theakkez,Hit the gas,spectreshep,Swerve,/u/theakkez gets to call /u/spectreshep a chicken.
aaaninjaman,Hit the gas,gonumen,Hit the gas,Both /u/aaaninjaman and /u/gonumen crash and die.
