a.user,a.choice,b.user,b.choice,end
legosp7,Snitch,dragonheart000,Stay quiet,"/u/legosp7 gets freed for selling out /u/dragonheart000, who got 3 years."
rhazior,Stay quiet,pepsilover1,Stay quiet,Both /u/rhazior and /u/pepsilover1 share a cell for one year.
emmzaa,Stay quiet,balletscience,Snitch,"/u/balletscience gets freed for selling out /u/emmzaa, who got 3 years."
bewaretwo,Snitch,boltkey,Snitch,Both /u/bewaretwo and /u/boltkey share a cell for two years.
nat-cat,Snitch,bear_cop,Stay quiet,"/u/nat-cat gets freed for selling out /u/bear_cop, who got 3 years."
facitcitro,Stay quiet,elitepenguin4,Snitch,"/u/elitepenguin4 gets freed for selling out /u/facitcitro, who got 3 years."
ellemarsh,Snitch,rhyschew,Snitch,Both /u/ellemarsh and /u/rhyschew share a cell for two years.
moovlin,Stay quiet,platonic_void,Stay quiet,Both /u/moovlin and /u/platonic_void share a cell for one year.
anesma,Stay quiet,nullomore,Snitch,"/u/nullomore gets freed for selling out /u/anesma, who got 3 years."
redtheta,Snitch,noobhunter777,Stay quiet,"/u/redtheta gets freed for selling out /u/noobhunter777, who got 3 years."
macman241,Snitch,mwrowe92,Stay quiet,"/u/macman241 gets freed for selling out /u/mwrowe92, who got 3 years."
there_be_segfaults,Stay quiet,auramgold,Stay quiet,Both /u/there_be_segfaults and /u/auramgold share a cell for one year.
statguy,Stay quiet,hollybv,Stay quiet,Both /u/statguy and /u/hollybv share a cell for one year.
endemiclegacy,Stay quiet,henricy,Stay quiet,Both /u/endemiclegacy and /u/henricy share a cell for one year.
revnox,Stay quiet,gintarazimu,Stay quiet,Both /u/revnox and /u/gintarazimu share a cell for one year.
dveo,Stay quiet,highly-sammable,Stay quiet,Both /u/dveo and /u/highly-sammable share a cell for one year.
thelastalliance,Snitch,amberlise,Stay quiet,"/u/thelastalliance gets freed for selling out /u/amberlise, who got 3 years."
redmanb,Stay quiet,grosscoconuts,Stay quiet,Both /u/redmanb and /u/grosscoconuts share a cell for one year.
altoidian,Stay quiet,lemmyk,Snitch,"/u/lemmyk gets freed for selling out /u/altoidian, who got 3 years."
shaveslavers,Snitch,songstressindistress,Stay quiet,"/u/shaveslavers gets freed for selling out /u/songstressindistress, who got 3 years."
hellsing73,Snitch,moithirteen,Stay quiet,"/u/hellsing73 gets freed for selling out /u/moithirteen, who got 3 years."
betterphoneron,Snitch,skarm137,Stay quiet,"/u/betterphoneron gets freed for selling out /u/skarm137, who got 3 years."
internetadventurer,Stay quiet,apflamous,Snitch,"/u/apflamous gets freed for selling out /u/internetadventurer, who got 3 years."
holyspirit_of_hell,Stay quiet,brooke_girl,Stay quiet,Both /u/holyspirit_of_hell and /u/brooke_girl share a cell for one year.
sircutry,Stay quiet,xdr-sr64,Stay quiet,Both /u/sircutry and /u/xdr-sr64 share a cell for one year.
11111000000b,Snitch,stasibasiphobic,Stay quiet,"/u/11111000000b gets freed for selling out /u/stasibasiphobic, who got 3 years."
tehgreenmc,Stay quiet,jompeter01,Stay quiet,Both /u/tehgreenmc and /u/jompeter01 share a cell for one year.
the_kazaakplethkilik,Stay quiet,barebahr,Stay quiet,Both /u/the_kazaakplethkilik and /u/barebahr share a cell for one year.
15goku,Snitch,xaplostras,Snitch,Both /u/15goku and /u/xaplostras share a cell for two years.
pm_meyourcoffee,Snitch,shining_,Snitch,Both /u/pm_meyourcoffee and /u/shining_ share a cell for two years.
2spoogy,Stay quiet,briannasaurusrex92,Snitch,"/u/briannasaurusrex92 gets freed for selling out /u/2spoogy, who got 3 years."
zantary,Snitch,drlucidreverie,Snitch,Both /u/zantary and /u/drlucidreverie share a cell for two years.
jingah,Snitch,spfifle,Stay quiet,"/u/jingah gets freed for selling out /u/spfifle, who got 3 years."
devilwearstoms,Stay quiet,cg5,Snitch,"/u/cg5 gets freed for selling out /u/devilwearstoms, who got 3 years."
grkpgn,Stay quiet,homoredditus,Stay quiet,Both /u/grkpgn and /u/homoredditus share a cell for one year.
strattonschippers,Stay quiet,macbeth554,Snitch,"/u/macbeth554 gets freed for selling out /u/strattonschippers, who got 3 years."
lordllamahat,Stay quiet,zoethor2,Snitch,"/u/zoethor2 gets freed for selling out /u/lordllamahat, who got 3 years."
fallon758,Stay quiet,etherealphoenix,Stay quiet,Both /u/fallon758 and /u/etherealphoenix share a cell for one year.
makingitpurple,Stay quiet,johnnysmart,Snitch,"/u/johnnysmart gets freed for selling out /u/makingitpurple, who got 3 years."
anotherturingmachine,Stay quiet,davidthewalkerx,Snitch,"/u/davidthewalkerx gets freed for selling out /u/anotherturingmachine, who got 3 years."
zackattackz,Stay quiet,a5yl,Snitch,"/u/a5yl gets freed for selling out /u/zackattackz, who got 3 years."
scayman223,Stay quiet,usespython,Stay quiet,Both /u/scayman223 and /u/usespython share a cell for one year.
spacejunk444,Snitch,redeyedchester,Stay quiet,"/u/spacejunk444 gets freed for selling out /u/redeyedchester, who got 3 years."
apoptopsicle,Stay quiet,cpriper,Snitch,"/u/cpriper gets freed for selling out /u/apoptopsicle, who got 3 years."
spectral-k,Stay quiet,the_future_is_wild,Stay quiet,Both /u/spectral-k and /u/the_future_is_wild share a cell for one year.
theakkez,Snitch,dan99990,Stay quiet,"/u/theakkez gets freed for selling out /u/dan99990, who got 3 years."
the_aquacadet,Stay quiet,jslev9,Snitch,"/u/jslev9 gets freed for selling out /u/the_aquacadet, who got 3 years."
ernestochelaclau,Stay quiet,spikethebunny,Stay quiet,Both /u/ernestochelaclau and /u/spikethebunny share a cell for one year.
backdoor_sliders,Snitch,bowser0000,Stay quiet,"/u/backdoor_sliders gets freed for selling out /u/bowser0000, who got 3 years."
mistressliliana,Stay quiet,gonumen,Stay quiet,Both /u/mistressliliana and /u/gonumen share a cell for one year.
coltonhoover,Stay quiet,elvysaur,Snitch,"/u/elvysaur gets freed for selling out /u/coltonhoover, who got 3 years."
mentos68,Stay quiet,goatcrew,Stay quiet,Both /u/mentos68 and /u/goatcrew share a cell for one year.
vowelss,Snitch,dinomannitro6,Stay quiet,"/u/vowelss gets freed for selling out /u/dinomannitro6, who got 3 years."
chthonicirrigation,Snitch,nog00d,Snitch,Both /u/chthonicirrigation and /u/nog00d share a cell for two years.
onlytoask,Snitch,imsomature69,Stay quiet,"/u/onlytoask gets freed for selling out /u/imsomature69, who got 3 years."
kashthealien,Stay quiet,xor50,Snitch,"/u/xor50 gets freed for selling out /u/kashthealien, who got 3 years."
pili_in_ibiza,Snitch,shel_bees,Stay quiet,"/u/pili_in_ibiza gets freed for selling out /u/shel_bees, who got 3 years."
cabar93,Stay quiet,co_lund,Stay quiet,Both /u/cabar93 and /u/co_lund share a cell for one year.
edihau,Stay quiet,netherlewis,Snitch,"/u/netherlewis gets freed for selling out /u/edihau, who got 3 years."
angelwk,Stay quiet,graviton_beam,Stay quiet,Both /u/angelwk and /u/graviton_beam share a cell for one year.
steaknsteak,Stay quiet,arthuresque,Stay quiet,Both /u/steaknsteak and /u/arthuresque share a cell for one year.
pricelesshats,Stay quiet,firejoule,Stay quiet,Both /u/pricelesshats and /u/firejoule share a cell for one year.
gingersassy,Stay quiet,cherryclackers,Stay quiet,Both /u/gingersassy and /u/cherryclackers share a cell for one year.
numberlesswake,Stay quiet,thomas6785,Snitch,"/u/thomas6785 gets freed for selling out /u/numberlesswake, who got 3 years."
xtarification,Snitch,evilsalmon,Stay quiet,"/u/xtarification gets freed for selling out /u/evilsalmon, who got 3 years."
_kissmexoxo,Stay quiet,onesixtyseven,Stay quiet,Both /u/_kissmexoxo and /u/onesixtyseven share a cell for one year.
flyingmonkeyssaymoo,Snitch,unitconversion,Snitch,Both /u/flyingmonkeyssaymoo and /u/unitconversion share a cell for two years.
chan1150,Stay quiet,not_a_plane_either,Stay quiet,Both /u/chan1150 and /u/not_a_plane_either share a cell for one year.
therealsoulquarian,Snitch,alecksphillips,Stay quiet,"/u/therealsoulquarian gets freed for selling out /u/alecksphillips, who got 3 years."
nstarz,Stay quiet,scholar_requesting,Stay quiet,Both /u/nstarz and /u/scholar_requesting share a cell for one year.
twitchy775,Stay quiet,4rewq,Snitch,"/u/4rewq gets freed for selling out /u/twitchy775, who got 3 years."
nemesys2005,Stay quiet,blmzd,Stay quiet,Both /u/nemesys2005 and /u/blmzd share a cell for one year.
hugesf,Snitch,perntdoast,Snitch,Both /u/hugesf and /u/perntdoast share a cell for two years.
madsonl,Snitch,atagon1,Stay quiet,"/u/madsonl gets freed for selling out /u/atagon1, who got 3 years."
pizzapieladida,Stay quiet,crocostix,Snitch,"/u/crocostix gets freed for selling out /u/pizzapieladida, who got 3 years."
1585881,Snitch,newme274,Snitch,Both /u/1585881 and /u/newme274 share a cell for two years.
bdazbty,Snitch,tlmb0,Stay quiet,"/u/bdazbty gets freed for selling out /u/tlmb0, who got 3 years."
public_compliance,Stay quiet,toastyghostie,Stay quiet,Both /u/public_compliance and /u/toastyghostie share a cell for one year.
hunter5226,Snitch,orthanit,Stay quiet,"/u/hunter5226 gets freed for selling out /u/orthanit, who got 3 years."
hangmanchamp,Snitch,pablothemexican7,Stay quiet,"/u/hangmanchamp gets freed for selling out /u/pablothemexican7, who got 3 years."
ameliabedelia7,Stay quiet,97ft,Stay quiet,Both /u/ameliabedelia7 and /u/97ft share a cell for one year.
rara623,Snitch,cyberrubyfox,Snitch,Both /u/rara623 and /u/cyberrubyfox share a cell for two years.
kmrst,Snitch,throwaway133379001,Stay quiet,"/u/kmrst gets freed for selling out /u/throwaway133379001, who got 3 years."
bobito5,Snitch,spectreshep,Stay quiet,"/u/bobito5 gets freed for selling out /u/spectreshep, who got 3 years."
andydandy162,Stay quiet,p0tet,Stay quiet,Both /u/andydandy162 and /u/p0tet share a cell for one year.
pacificparticular,Stay quiet,cokeraddict,Stay quiet,Both /u/pacificparticular and /u/cokeraddict share a cell for one year.
mrballoon_hands,Snitch,imlikesocool,Snitch,Both /u/mrballoon_hands and /u/imlikesocool share a cell for two years.
smfullman,Stay quiet,obzoen,Snitch,"/u/obzoen gets freed for selling out /u/smfullman, who got 3 years."
luctations,Stay quiet,tkaish,Snitch,"/u/tkaish gets freed for selling out /u/luctations, who got 3 years."
smathering,Stay quiet,-pikajew,Stay quiet,Both /u/smathering and /u/-pikajew share a cell for one year.
joejoemojo,Stay quiet,ctclif,Snitch,"/u/ctclif gets freed for selling out /u/joejoemojo, who got 3 years."
calibaan,Stay quiet,clony85,Stay quiet,Both /u/calibaan and /u/clony85 share a cell for one year.
ssabethh,Stay quiet,iminabox,Snitch,"/u/iminabox gets freed for selling out /u/ssabethh, who got 3 years."
i-hate-orange,Stay quiet,mrpilotgamer,Stay quiet,Both /u/i-hate-orange and /u/mrpilotgamer share a cell for one year.
k_a_r_m_a_r_a,Snitch,unicornbomber,Stay quiet,"/u/k_a_r_m_a_r_a gets freed for selling out /u/unicornbomber, who got 3 years."
chackk,Stay quiet,nephdaddy8,Stay quiet,Both /u/chackk and /u/nephdaddy8 share a cell for one year.
kaytydid,Stay quiet,seriyes,Stay quiet,Both /u/kaytydid and /u/seriyes share a cell for one year.
mynameisclaire,Stay quiet,pohtahtoe,Stay quiet,Both /u/mynameisclaire and /u/pohtahtoe share a cell for one year.
gandalftheultraviole,Stay quiet,swagmasterrs,Snitch,"/u/swagmasterrs gets freed for selling out /u/gandalftheultraviole, who got 3 years."
seaweed62393,Snitch,jeray2000,Stay quiet,"/u/seaweed62393 gets freed for selling out /u/jeray2000, who got 3 years."
dalibar,Stay quiet,mabrera,Stay quiet,Both /u/dalibar and /u/mabrera share a cell for one year.
flsming_pulsar,Stay quiet,maxitraxie,Stay quiet,Both /u/flsming_pulsar and /u/maxitraxie share a cell for one year.
hypergraphia,Stay quiet,alaskansky,Stay quiet,Both /u/hypergraphia and /u/alaskansky share a cell for one year.
itcouldnotbeme,Snitch,a_dam_ste,Stay quiet,"/u/itcouldnotbeme gets freed for selling out /u/a_dam_ste, who got 3 years."
sammyterrybelzer,Snitch,87657467,Stay quiet,"/u/sammyterrybelzer gets freed for selling out /u/87657467, who got 3 years."
incrediblestrawberry,Stay quiet,vukrum,Stay quiet,Both /u/incrediblestrawberry and /u/vukrum share a cell for one year.
enjoyslongwalks,Stay quiet,redpon3,Stay quiet,Both /u/enjoyslongwalks and /u/redpon3 share a cell for one year.
jaclekiller,Stay quiet,skretsch,Stay quiet,Both /u/jaclekiller and /u/skretsch share a cell for one year.
thatwriterfriend,Stay quiet,survivevivrus,Snitch,"/u/survivevivrus gets freed for selling out /u/thatwriterfriend, who got 3 years."
krtkneki,Stay quiet,ruschnav,Stay quiet,Both /u/krtkneki and /u/ruschnav share a cell for one year.
scubaduck,Snitch,aguirre1pol,Stay quiet,"/u/scubaduck gets freed for selling out /u/aguirre1pol, who got 3 years."
rthztzfhuztfhu,Stay quiet,itsbentheboy,Stay quiet,Both /u/rthztzfhuztfhu and /u/itsbentheboy share a cell for one year.
dagsaroni,Stay quiet,400_lux,Stay quiet,Both /u/dagsaroni and /u/400_lux share a cell for one year.
pixel871,Stay quiet,cloneman95,Stay quiet,Both /u/pixel871 and /u/cloneman95 share a cell for one year.
dream66_,Stay quiet,thatyahoo,Snitch,"/u/thatyahoo gets freed for selling out /u/dream66_, who got 3 years."
jacobepping,Stay quiet,thewalkinggnome,Stay quiet,Both /u/jacobepping and /u/thewalkinggnome share a cell for one year.
crappylaptop,Stay quiet,adrimirc,Stay quiet,Both /u/crappylaptop and /u/adrimirc share a cell for one year.
milliebirdie,Snitch,hushsquared,Stay quiet,"/u/milliebirdie gets freed for selling out /u/hushsquared, who got 3 years."
amazinglyawesomename,Snitch,summertime214,Snitch,Both /u/amazinglyawesomename and /u/summertime214 share a cell for two years.
nosdarb,Stay quiet,dottydani,Stay quiet,Both /u/nosdarb and /u/dottydani share a cell for one year.
sofiboy,Stay quiet,femna,Stay quiet,Both /u/sofiboy and /u/femna share a cell for one year.
mm1491,Snitch,eyebrowsforeveryone,Stay quiet,"/u/mm1491 gets freed for selling out /u/eyebrowsforeveryone, who got 3 years."
d3008,Snitch,divineprince2,Snitch,Both /u/d3008 and /u/divineprince2 share a cell for two years.
japasthebass,Stay quiet,gresskarpai,Stay quiet,Both /u/japasthebass and /u/gresskarpai share a cell for one year.
finbarwrong,Snitch,fuckyou,Snitch,Both /u/finbarwrong and /u/fuckyou share a cell for two years.
tridentboy,Stay quiet,pohtahtohg,Stay quiet,Both /u/tridentboy and /u/pohtahtohg share a cell for one year.
flatulanceontoast,Stay quiet,dermaxpower,Snitch,"/u/dermaxpower gets freed for selling out /u/flatulanceontoast, who got 3 years."
sovietvvinter,Snitch,keto-420,Stay quiet,"/u/sovietvvinter gets freed for selling out /u/keto-420, who got 3 years."
captain_cobra24,Stay quiet,fire1299,Stay quiet,Both /u/captain_cobra24 and /u/fire1299 share a cell for one year.
wjs12,Snitch,kerune,Snitch,Both /u/wjs12 and /u/kerune share a cell for two years.
ravistay,Stay quiet,avarangian,Stay quiet,Both /u/ravistay and /u/avarangian share a cell for one year.
aberger,Stay quiet,fewbike,Stay quiet,Both /u/aberger and /u/fewbike share a cell for one year.
-rosemallow,Snitch,youcalled911forthat,Stay quiet,"/u/-rosemallow gets freed for selling out /u/youcalled911forthat, who got 3 years."
dirtydan413,Snitch,dwightallright,Stay quiet,"/u/dirtydan413 gets freed for selling out /u/dwightallright, who got 3 years."
tyzon05,Stay quiet,marceloardz,Snitch,"/u/marceloardz gets freed for selling out /u/tyzon05, who got 3 years."
skwrepb,Stay quiet,65rytg,Stay quiet,Both /u/skwrepb and /u/65rytg share a cell for one year.
