a.user|a.choice|b.user|b.choice|end
iminabox|Snitch|dwightallright|Stay quiet|/u/iminabox gets freed for selling out /u/dwightallright, who got 3 years.
thatwriterfriend|Stay quiet|obzoen|Snitch|/u/obzoen gets freed for selling out /u/thatwriterfriend, who got 3 years.
seaweed62393|Snitch|steaknsteak|Stay quiet|/u/seaweed62393 gets freed for selling out /u/steaknsteak, who got 3 years.
hunter5226|Snitch|nog00d|Snitch|Both /u/hunter5226 and /u/nog00d share a cell for two years.
atagon1|Stay quiet|mwrowe92|Stay quiet|Both /u/atagon1 and /u/mwrowe92 share a cell for one year.
jeray2000|Stay quiet|mabrera|Stay quiet|Both /u/jeray2000 and /u/mabrera share a cell for one year.
finbarwrong|Snitch|apflamous|Snitch|Both /u/finbarwrong and /u/apflamous share a cell for two years.
swagmasterrs|Snitch|pohtahtohg|Stay quiet|/u/swagmasterrs gets freed for selling out /u/pohtahtohg, who got 3 years.
highly-sammable|Stay quiet|pablothemexican7|Stay quiet|Both /u/highly-sammable and /u/pablothemexican7 share a cell for one year.
japasthebass|Stay quiet|redmanb|Stay quiet|Both /u/japasthebass and /u/redmanb share a cell for one year.
thomas6785|Snitch|_kissmexoxo|Stay quiet|/u/thomas6785 gets freed for selling out /u/_kissmexoxo, who got 3 years.
co_lund|Stay quiet|madsonl|Snitch|/u/madsonl gets freed for selling out /u/co_lund, who got 3 years.
public_compliance|Stay quiet|nullomore|Snitch|/u/nullomore gets freed for selling out /u/public_compliance, who got 3 years.
holyspirit_of_hell|Stay quiet|legosp7|Snitch|/u/legosp7 gets freed for selling out /u/holyspirit_of_hell, who got 3 years.
spectreshep|Stay quiet|97ft|Stay quiet|Both /u/spectreshep and /u/97ft share a cell for one year.
fuckyou|Snitch|tlmb0|Stay quiet|/u/fuckyou gets freed for selling out /u/tlmb0, who got 3 years.
jaclekiller|Stay quiet|fewbike|Stay quiet|Both /u/jaclekiller and /u/fewbike share a cell for one year.
sofiboy|Stay quiet|pepsilover1|Stay quiet|Both /u/sofiboy and /u/pepsilover1 share a cell for one year.
scholar_requesting|Stay quiet|i-hate-orange|Stay quiet|Both /u/scholar_requesting and /u/i-hate-orange share a cell for one year.
redtheta|Snitch|moithirteen|Stay quiet|/u/redtheta gets freed for selling out /u/moithirteen, who got 3 years.
thewalkinggnome|Stay quiet|summertime214|Snitch|/u/summertime214 gets freed for selling out /u/thewalkinggnome, who got 3 years.
bdazbty|Snitch|spacejunk444|Snitch|Both /u/bdazbty and /u/spacejunk444 share a cell for two years.
pizzapieladida|Stay quiet|spfifle|Stay quiet|Both /u/pizzapieladida and /u/spfifle share a cell for one year.
xor50|Snitch|alecksphillips|Stay quiet|/u/xor50 gets freed for selling out /u/alecksphillips, who got 3 years.
zackattackz|Stay quiet|dragonheart000|Stay quiet|Both /u/zackattackz and /u/dragonheart000 share a cell for one year.
auramgold|Stay quiet|xdr-sr64|Stay quiet|Both /u/auramgold and /u/xdr-sr64 share a cell for one year.
there_be_segfaults|Stay quiet|k_a_r_m_a_r_a|Snitch|/u/k_a_r_m_a_r_a gets freed for selling out /u/there_be_segfaults, who got 3 years.
grkpgn|Stay quiet|-pikajew|Stay quiet|Both /u/grkpgn and /u/-pikajew share a cell for one year.
thelastalliance|Snitch|sircutry|Stay quiet|/u/thelastalliance gets freed for selling out /u/sircutry, who got 3 years.
chthonicirrigation|Snitch|joejoemojo|Stay quiet|/u/chthonicirrigation gets freed for selling out /u/joejoemojo, who got 3 years.
itcouldnotbeme|Snitch|noobhunter777|Stay quiet|/u/itcouldnotbeme gets freed for selling out /u/noobhunter777, who got 3 years.
nemesys2005|Stay quiet|ctclif|Snitch|/u/ctclif gets freed for selling out /u/nemesys2005, who got 3 years.
facitcitro|Stay quiet|endemiclegacy|Stay quiet|Both /u/facitcitro and /u/endemiclegacy share a cell for one year.
mentos68|Stay quiet|lordllamahat|Stay quiet|Both /u/mentos68 and /u/lordllamahat share a cell for one year.
devilwearstoms|Stay quiet|macbeth554|Snitch|/u/macbeth554 gets freed for selling out /u/devilwearstoms, who got 3 years.
twitchy775|Stay quiet|makingitpurple|Stay quiet|Both /u/twitchy775 and /u/makingitpurple share a cell for one year.
gingersassy|Stay quiet|ernestochelaclau|Stay quiet|Both /u/gingersassy and /u/ernestochelaclau share a cell for one year.
cherryclackers|Stay quiet|65rytg|Stay quiet|Both /u/cherryclackers and /u/65rytg share a cell for one year.
backdoor_sliders|Snitch|johnnysmart|Snitch|Both /u/backdoor_sliders and /u/johnnysmart share a cell for two years.
statguy|Stay quiet|bowser0000|Stay quiet|Both /u/statguy and /u/bowser0000 share a cell for one year.
4rewq|Snitch|imlikesocool|Snitch|Both /u/4rewq and /u/imlikesocool share a cell for two years.
wjs12|Snitch|sammyterrybelzer|Snitch|Both /u/wjs12 and /u/sammyterrybelzer share a cell for two years.
cyberrubyfox|Snitch|mistressliliana|Stay quiet|/u/cyberrubyfox gets freed for selling out /u/mistressliliana, who got 3 years.
tkaish|Snitch|dinomannitro6|Stay quiet|/u/tkaish gets freed for selling out /u/dinomannitro6, who got 3 years.
ellemarsh|Snitch|imsomature69|Stay quiet|/u/ellemarsh gets freed for selling out /u/imsomature69, who got 3 years.
evilsalmon|Stay quiet|bobito5|Snitch|/u/bobito5 gets freed for selling out /u/evilsalmon, who got 3 years.
ameliabedelia7|Stay quiet|keto-420|Stay quiet|Both /u/ameliabedelia7 and /u/keto-420 share a cell for one year.
unicornbomber|Stay quiet|gintarazimu|Stay quiet|Both /u/unicornbomber and /u/gintarazimu share a cell for one year.
angelwk|Stay quiet|crappylaptop|Stay quiet|Both /u/angelwk and /u/crappylaptop share a cell for one year.
henricy|Stay quiet|milliebirdie|Snitch|/u/milliebirdie gets freed for selling out /u/henricy, who got 3 years.
aberger|Stay quiet|flatulanceontoast|Stay quiet|Both /u/aberger and /u/flatulanceontoast share a cell for one year.
pohtahtoe|Stay quiet|jslev9|Snitch|/u/jslev9 gets freed for selling out /u/pohtahtoe, who got 3 years.
numberlesswake|Stay quiet|kmrst|Snitch|/u/kmrst gets freed for selling out /u/numberlesswake, who got 3 years.
nosdarb|Stay quiet|grosscoconuts|Stay quiet|Both /u/nosdarb and /u/grosscoconuts share a cell for one year.
amazinglyawesomename|Snitch|scubaduck|Snitch|Both /u/amazinglyawesomename and /u/scubaduck share a cell for two years.
kerune|Snitch|dveo|Stay quiet|/u/kerune gets freed for selling out /u/dveo, who got 3 years.
graviton_beam|Stay quiet|aguirre1pol|Stay quiet|Both /u/graviton_beam and /u/aguirre1pol share a cell for one year.
tridentboy|Stay quiet|itsbentheboy|Stay quiet|Both /u/tridentboy and /u/itsbentheboy share a cell for one year.
mrballoon_hands|Snitch|smathering|Stay quiet|/u/mrballoon_hands gets freed for selling out /u/smathering, who got 3 years.
dermaxpower|Snitch|cg5|Snitch|Both /u/dermaxpower and /u/cg5 share a cell for two years.
pixel871|Stay quiet|firejoule|Stay quiet|Both /u/pixel871 and /u/firejoule share a cell for one year.
jingah|Snitch|d3008|Snitch|Both /u/jingah and /u/d3008 share a cell for two years.
-rosemallow|Snitch|shaveslavers|Snitch|Both /u/-rosemallow and /u/shaveslavers share a cell for two years.
pricelesshats|Stay quiet|flsming_pulsar|Stay quiet|Both /u/pricelesshats and /u/flsming_pulsar share a cell for one year.
avarangian|Stay quiet|onesixtyseven|Stay quiet|Both /u/avarangian and /u/onesixtyseven share a cell for one year.
vukrum|Stay quiet|andydandy162|Stay quiet|Both /u/vukrum and /u/andydandy162 share a cell for one year.
coltonhoover|Stay quiet|clony85|Stay quiet|Both /u/coltonhoover and /u/clony85 share a cell for one year.
seriyes|Stay quiet|redpon3|Stay quiet|Both /u/seriyes and /u/redpon3 share a cell for one year.
nephdaddy8|Stay quiet|ravistay|Stay quiet|Both /u/nephdaddy8 and /u/ravistay share a cell for one year.
dream66_|Stay quiet|dirtydan413|Snitch|/u/dirtydan413 gets freed for selling out /u/dream66_, who got 3 years.
nstarz|Stay quiet|spikethebunny|Stay quiet|Both /u/nstarz and /u/spikethebunny share a cell for one year.
internetadventurer|Stay quiet|skwrepb|Stay quiet|Both /u/internetadventurer and /u/skwrepb share a cell for one year.
bewaretwo|Snitch|mm1491|Snitch|Both /u/bewaretwo and /u/mm1491 share a cell for two years.
87657467|Stay quiet|scayman223|Stay quiet|Both /u/87657467 and /u/scayman223 share a cell for one year.
anotherturingmachine|Stay quiet|jompeter01|Stay quiet|Both /u/anotherturingmachine and /u/jompeter01 share a cell for one year.
fire1299|Stay quiet|davidthewalkerx|Snitch|/u/davidthewalkerx gets freed for selling out /u/fire1299, who got 3 years.
strattonschippers|Stay quiet|rthztzfhuztfhu|Stay quiet|Both /u/strattonschippers and /u/rthztzfhuztfhu share a cell for one year.
flyingmonkeyssaymoo|Snitch|tehgreenmc|Stay quiet|/u/flyingmonkeyssaymoo gets freed for selling out /u/tehgreenmc, who got 3 years.
2spoogy|Stay quiet|rara623|Snitch|/u/rara623 gets freed for selling out /u/2spoogy, who got 3 years.
adrimirc|Stay quiet|enjoyslongwalks|Stay quiet|Both /u/adrimirc and /u/enjoyslongwalks share a cell for one year.
usespython|Stay quiet|gonumen|Stay quiet|Both /u/usespython and /u/gonumen share a cell for one year.
fallon758|Stay quiet|hypergraphia|Stay quiet|Both /u/fallon758 and /u/hypergraphia share a cell for one year.
newme274|Snitch|luctations|Stay quiet|/u/newme274 gets freed for selling out /u/luctations, who got 3 years.
zantary|Snitch|15goku|Snitch|Both /u/zantary and /u/15goku share a cell for two years.
edihau|Stay quiet|cpriper|Snitch|/u/cpriper gets freed for selling out /u/edihau, who got 3 years.
cabar93|Stay quiet|not_a_plane_either|Stay quiet|Both /u/cabar93 and /u/not_a_plane_either share a cell for one year.
marceloardz|Snitch|divineprince2|Snitch|Both /u/marceloardz and /u/divineprince2 share a cell for two years.
zonination|Snitch|ruschnav|Stay quiet|/u/zonination gets freed for selling out /u/ruschnav, who got 3 years.
goatcrew|Stay quiet|cloneman95|Stay quiet|Both /u/goatcrew and /u/cloneman95 share a cell for one year.
perntdoast|Snitch|therealsoulquarian|Snitch|Both /u/perntdoast and /u/therealsoulquarian share a cell for two years.
a_dam_ste|Stay quiet|onlytoask|Snitch|/u/onlytoask gets freed for selling out /u/a_dam_ste, who got 3 years.
throwaway133379001|Stay quiet|apoptopsicle|Stay quiet|Both /u/throwaway133379001 and /u/apoptopsicle share a cell for one year.
rhazior|Stay quiet|unitconversion|Snitch|/u/unitconversion gets freed for selling out /u/rhazior, who got 3 years.
p0tet|Stay quiet|briannasaurusrex92|Snitch|/u/briannasaurusrex92 gets freed for selling out /u/p0tet, who got 3 years.
altoidian|Stay quiet|brooke_girl|Stay quiet|Both /u/altoidian and /u/brooke_girl share a cell for one year.
hushsquared|Stay quiet|maxitraxie|Stay quiet|Both /u/hushsquared and /u/maxitraxie share a cell for one year.
nat-cat|Snitch|dalibar|Stay quiet|/u/nat-cat gets freed for selling out /u/dalibar, who got 3 years.
elvysaur|Snitch|etherealphoenix|Stay quiet|/u/elvysaur gets freed for selling out /u/etherealphoenix, who got 3 years.
xtarification|Snitch|toastyghostie|Stay quiet|/u/xtarification gets freed for selling out /u/toastyghostie, who got 3 years.
rhyschew|Snitch|theakkez|Snitch|Both /u/rhyschew and /u/theakkez share a cell for two years.
chackk|Stay quiet|captain_cobra24|Stay quiet|Both /u/chackk and /u/captain_cobra24 share a cell for one year.
gandalftheultraviole|Stay quiet|the_aquacadet|Stay quiet|Both /u/gandalftheultraviole and /u/the_aquacadet share a cell for one year.
vowelss|Snitch|amberlise|Stay quiet|/u/vowelss gets freed for selling out /u/amberlise, who got 3 years.
moovlin|Stay quiet|hellsing73|Snitch|/u/hellsing73 gets freed for selling out /u/moovlin, who got 3 years.
alaskansky|Stay quiet|pacificparticular|Stay quiet|Both /u/alaskansky and /u/pacificparticular share a cell for one year.
hangmanchamp|Snitch|the_future_is_wild|Stay quiet|/u/hangmanchamp gets freed for selling out /u/the_future_is_wild, who got 3 years.
skarm137|Stay quiet|survivevivrus|Snitch|/u/survivevivrus gets freed for selling out /u/skarm137, who got 3 years.
skretsch|Stay quiet|hollybv|Stay quiet|Both /u/skretsch and /u/hollybv share a cell for one year.
shel_bees|Stay quiet|boltkey|Snitch|/u/boltkey gets freed for selling out /u/shel_bees, who got 3 years.
calibaan|Stay quiet|platonic_void|Stay quiet|Both /u/calibaan and /u/platonic_void share a cell for one year.
cokeraddict|Stay quiet|mrpilotgamer|Stay quiet|Both /u/cokeraddict and /u/mrpilotgamer share a cell for one year.
incrediblestrawberry|Stay quiet|eyebrowsforeveryone|Stay quiet|Both /u/incrediblestrawberry and /u/eyebrowsforeveryone share a cell for one year.
barebahr|Stay quiet|xaplostras|Snitch|/u/xaplostras gets freed for selling out /u/barebahr, who got 3 years.
betterphoneron|Snitch|netherlewis|Snitch|Both /u/betterphoneron and /u/netherlewis share a cell for two years.
orthanit|Stay quiet|shining_|Snitch|/u/shining_ gets freed for selling out /u/orthanit, who got 3 years.
anesma|Stay quiet|youcalled911forthat|Stay quiet|Both /u/anesma and /u/youcalled911forthat share a cell for one year.
revnox|Stay quiet|dagsaroni|Stay quiet|Both /u/revnox and /u/dagsaroni share a cell for one year.
kaytydid|Stay quiet|crocostix|Snitch|/u/crocostix gets freed for selling out /u/kaytydid, who got 3 years.
arthuresque|Stay quiet|pm_meyourcoffee|Snitch|/u/pm_meyourcoffee gets freed for selling out /u/arthuresque, who got 3 years.
emmzaa|Stay quiet|drlucidreverie|Snitch|/u/drlucidreverie gets freed for selling out /u/emmzaa, who got 3 years.
dottydani|Stay quiet|redeyedchester|Stay quiet|Both /u/dottydani and /u/redeyedchester share a cell for one year.
gresskarpai|Stay quiet|blmzd|Stay quiet|Both /u/gresskarpai and /u/blmzd share a cell for one year.
elitepenguin4|Snitch|lemmyk|Snitch|Both /u/elitepenguin4 and /u/lemmyk share a cell for two years.
sovietvvinter|Snitch|bear_cop|Stay quiet|/u/sovietvvinter gets freed for selling out /u/bear_cop, who got 3 years.
pili_in_ibiza|Snitch|11111000000b|Snitch|Both /u/pili_in_ibiza and /u/11111000000b share a cell for two years.
macman241|Snitch|songstressindistress|Stay quiet|/u/macman241 gets freed for selling out /u/songstressindistress, who got 3 years.
jacobepping|Stay quiet|ssabethh|Stay quiet|Both /u/jacobepping and /u/ssabethh share a cell for one year.
bdazbty|Stay quiet|kashthealien|Stay quiet|Both /u/bdazbty and /u/kashthealien share a cell for one year.
smfullman|Stay quiet|femna|Stay quiet|Both /u/smfullman and /u/femna share a cell for one year.
stasibasiphobic|Stay quiet|a5yl|Snitch|/u/a5yl gets freed for selling out /u/stasibasiphobic, who got 3 years.
zoethor2|Snitch|400_lux|Stay quiet|/u/zoethor2 gets freed for selling out /u/400_lux, who got 3 years.
krtkneki|Stay quiet|chan1150|Stay quiet|Both /u/krtkneki and /u/chan1150 share a cell for one year.
