a.user,a.choice,b.user,b.choice,end
ctclif,STEAL,-pikajew,SHARE,"/u/ctclif wins $1000 for stealing from /u/-pikajew, who gets nothing."
bdazbty,STEAL,browniebrown,SHARE,"/u/bdazbty wins $1000 for stealing from /u/browniebrown, who gets nothing."
mm1491,SHARE,joe6kee,SHARE,Both /u/mm1491 and /u/joe6kee share $500 for trusting one another.
jeray2000,SHARE,dinomannitro6,SHARE,Both /u/jeray2000 and /u/dinomannitro6 share $500 for trusting one another.
coffeequaffer,SHARE,ouferrat,SHARE,Both /u/coffeequaffer and /u/ouferrat share $500 for trusting one another.
femma,SHARE,afjgirl,SHARE,Both /u/femma and /u/afjgirl share $500 for trusting one another.
spacejunk444,STEAL,platonic_void,SHARE,"/u/spacejunk444 wins $1000 for stealing from /u/platonic_void, who gets nothing."
thehandoffate,SHARE,lunarwolfx,SHARE,Both /u/thehandoffate and /u/lunarwolfx share $500 for trusting one another.
strattonschippers,SHARE,auramgold,SHARE,Both /u/strattonschippers and /u/auramgold share $500 for trusting one another.
wolfyminecraft,SHARE,johnnysmart,SHARE,Both /u/wolfyminecraft and /u/johnnysmart share $500 for trusting one another.
synonymous_with,SHARE,vermontbro,STEAL,"/u/vermontbro wins $1000 for stealing from /u/synonymous_with, who gets nothing."
the_kazaakplethkilik,STEAL,jonahatw,SHARE,"/u/the_kazaakplethkilik wins $1000 for stealing from /u/jonahatw, who gets nothing."
ausbon,SHARE,captain_cobra24,SHARE,Both /u/ausbon and /u/captain_cobra24 share $500 for trusting one another.
nephdaddy8,SHARE,oneredsent,STEAL,"/u/oneredsent wins $1000 for stealing from /u/nephdaddy8, who gets nothing."
yum_muesli,SHARE,earthseakitten,STEAL,"/u/earthseakitten wins $1000 for stealing from /u/yum_muesli, who gets nothing."
lonelywatermelon,SHARE,zak,STEAL,"/u/zak wins $1000 for stealing from /u/lonelywatermelon, who gets nothing."
fire1299,SHARE,dirtydan413,SHARE,Both /u/fire1299 and /u/dirtydan413 share $500 for trusting one another.
hangmanchamp,SHARE,thatyahoo,STEAL,"/u/thatyahoo wins $1000 for stealing from /u/hangmanchamp, who gets nothing."
evilsalmon,SHARE,crocostix,STEAL,"/u/crocostix wins $1000 for stealing from /u/evilsalmon, who gets nothing."
dogontheporch,SHARE,incrediblestrawberry,SHARE,Both /u/dogontheporch and /u/incrediblestrawberry share $500 for trusting one another.
97ft,STEAL,unitconversion,STEAL,Both /u/97ft and /u/unitconversion get nothing.
grimaceandfriends,SHARE,lemmyk,STEAL,"/u/lemmyk wins $1000 for stealing from /u/grimaceandfriends, who gets nothing."
madethisforoneremark,SHARE,mongooset,STEAL,"/u/mongooset wins $1000 for stealing from /u/madethisforoneremark, who gets nothing."
smfullman,SHARE,mistressliliana,SHARE,Both /u/smfullman and /u/mistressliliana share $500 for trusting one another.
xtarification,STEAL,justsomedikdik,SHARE,"/u/xtarification wins $1000 for stealing from /u/justsomedikdik, who gets nothing."
spectreshep,SHARE,joejoemojo,SHARE,Both /u/spectreshep and /u/joejoemojo share $500 for trusting one another.
1585881,SHARE,gresskarpai,SHARE,Both /u/1585881 and /u/gresskarpai share $500 for trusting one another.
emmanation,SHARE,public_compliance,SHARE,Both /u/emmanation and /u/public_compliance share $500 for trusting one another.
nemesys2005,STEAL,legosp7,SHARE,"/u/nemesys2005 wins $1000 for stealing from /u/legosp7, who gets nothing."
aoeui344,SHARE,exona,SHARE,Both /u/aoeui344 and /u/exona share $500 for trusting one another.
cpriper,SHARE,roarkitty,SHARE,Both /u/cpriper and /u/roarkitty share $500 for trusting one another.
