a.user|a.choice|b.user|b.choice|end
rubiscoisrad|SHARE|joe6kee|SHARE|Both /u/rubiscoisrad and /u/joe6kee share $500 for trusting one another.
thehandoffate|SHARE|chavkk|SHARE|Both /u/thehandoffate and /u/chavkk share $500 for trusting one another.
4rewq|SHARE|rsaesha|SHARE|Both /u/4rewq and /u/rsaesha share $500 for trusting one another.
gintarazimu|STEAL|dirtydan413|SHARE|/u/gintarazimu wins $1000 for stealing from /u/dirtydan413, who gets nothing.
wolfyminecraft|SHARE|bdazbty|STEAL|/u/bdazbty wins $1000 for stealing from /u/wolfyminecraft, who gets nothing.
unitconversion|STEAL|mactennis|SHARE|/u/unitconversion wins $1000 for stealing from /u/mactennis, who gets nothing.
kmrst|SHARE|milliebirdie|SHARE|Both /u/kmrst and /u/milliebirdie share $500 for trusting one another.
ispent10minutes|SHARE|nemesys2005|STEAL|/u/nemesys2005 wins $1000 for stealing from /u/ispent10minutes, who gets nothing.
usespython|SHARE|lonelywatermelon|SHARE|Both /u/usespython and /u/lonelywatermelon share $500 for trusting one another.
doctorcorvair|STEAL|y|SHARE|/u/doctorcorvair wins $1000 for stealing from /u/y, who gets nothing.
skwrepb|SHARE|ouferrat|SHARE|Both /u/skwrepb and /u/ouferrat share $500 for trusting one another.
kiribatii|SHARE|fake|STEAL|/u/fake wins $1000 for stealing from /u/kiribatii, who gets nothing.
dwightallright|STEAL|aloneapart|SHARE|/u/dwightallright wins $1000 for stealing from /u/aloneapart, who gets nothing.
chthonicirrigation|STEAL|purplemurex|SHARE|/u/chthonicirrigation wins $1000 for stealing from /u/purplemurex, who gets nothing.
reneiren|SHARE|hflex|SHARE|Both /u/reneiren and /u/hflex share $500 for trusting one another.
the_kazaakplethkilik|STEAL|rent-a-kitten|SHARE|/u/the_kazaakplethkilik wins $1000 for stealing from /u/rent-a-kitten, who gets nothing.
delphizer|STEAL|flyingmonkeyssaymoo|SHARE|/u/delphizer wins $1000 for stealing from /u/flyingmonkeyssaymoo, who gets nothing.
steaknsteak|SHARE|femma|SHARE|Both /u/steaknsteak and /u/femma share $500 for trusting one another.
gummybee|SHARE|15goku|SHARE|Both /u/gummybee and /u/15goku share $500 for trusting one another.
finbarwrong|STEAL|jverkhovykh|SHARE|/u/finbarwrong wins $1000 for stealing from /u/jverkhovykh, who gets nothing.
zantary|STEAL|coffeequaffer|SHARE|/u/zantary wins $1000 for stealing from /u/coffeequaffer, who gets nothing.
