a.user,a.choice,b.user,b.choice,end
roarkitty,Nuke,edihau,Peace,"/u/roarkitty strikes first, but with /u/edihau's Second Strike protocol, both get annihilated."
chan1150,Nuke,rhyschew,Peace,"/u/chan1150 strikes first, but with /u/rhyschew's Second Strike protocol, both get annihilated."
usernameisalie,Peace,lemmyk,Peace,Both /u/usernameisalie and /u/lemmyk live together in an uneasy peace.
scubaduck,Peace,t78lego,Peace,Both /u/scubaduck and /u/t78lego live together in an uneasy peace.
whisdeth,Peace,scholar_requesting,Peace,Both /u/whisdeth and /u/scholar_requesting live together in an uneasy peace.
nerosmith,Nuke,redpon3,Peace,"/u/nerosmith strikes first, but with /u/redpon3's Second Strike protocol, both get annihilated."
a_dam_ste,Peace,anotherturingmachine,Peace,Both /u/a_dam_ste and /u/anotherturingmachine live together in an uneasy peace.
4rewq,Peace,not_a_plane_either,Peace,Both /u/4rewq and /u/not_a_plane_either live together in an uneasy peace.
elvysaur,Peace,skarm137,Nuke,"/u/skarm137 strikes first, but with /u/elvysaur's Second Strike protocol, both get annihilated."
thewalkinggnome,Nuke,schutterke,Peace,"/u/thewalkinggnome strikes first, but with /u/schutterke's Second Strike protocol, both get annihilated."
elitepenguin4,Peace,tridentboy,Nuke,"/u/tridentboy strikes first, but with /u/elitepenguin4's Second Strike protocol, both get annihilated."
fire1299,Peace,hugesf,Peace,Both /u/fire1299 and /u/hugesf live together in an uneasy peace.
numberlesswake,Peace,nat-cat,Peace,Both /u/numberlesswake and /u/nat-cat live together in an uneasy peace.
jompeter01,Peace,nephdaddy8,Nuke,"/u/nephdaddy8 strikes first, but with /u/jompeter01's Second Strike protocol, both get annihilated."
jeray2000,Peace,ctclif,Peace,Both /u/jeray2000 and /u/ctclif live together in an uneasy peace.
flaming_pulsar,Nuke,dailyarmageddon,Peace,"/u/flaming_pulsar strikes first, but with /u/dailyarmageddon's Second Strike protocol, both get annihilated."
casca_uk,Peace,crocostix,Peace,Both /u/casca_uk and /u/crocostix live together in an uneasy peace.
gonumen,Nuke,-rosemallow,Nuke,"Both /u/gonumen and /u/-rosemallow strike, and both get annihilated."
natevh1,Peace,the_glass_cannon,Nuke,"/u/the_glass_cannon strikes first, but with /u/natevh1's Second Strike protocol, both get annihilated."
spectreshep,Peace,iredditontheradio,Peace,Both /u/spectreshep and /u/iredditontheradio live together in an uneasy peace.
lordllamahat,Peace,dermaxpower,Peace,Both /u/lordllamahat and /u/dermaxpower live together in an uneasy peace.
blmzd,Peace,penguinick77,Peace,Both /u/blmzd and /u/penguinick77 live together in an uneasy peace.
dirtydan413,Nuke,johnnysmart,Peace,"/u/dirtydan413 strikes first, but with /u/johnnysmart's Second Strike protocol, both get annihilated."
wakub,Nuke,sammyterrybelzer,Nuke,"Both /u/wakub and /u/sammyterrybelzer strike, and both get annihilated."
rthztzfhuztfhu,Peace,unitconversion,Peace,Both /u/rthztzfhuztfhu and /u/unitconversion live together in an uneasy peace.
spectral-k,Peace,grkpgn,Peace,Both /u/spectral-k and /u/grkpgn live together in an uneasy peace.
11111000000b,Nuke,azazelsheep,Peace,"/u/11111000000b strikes first, but with /u/azazelsheep's Second Strike protocol, both get annihilated."
_kissmexoxo,Peace,vukrum,Peace,Both /u/_kissmexoxo and /u/vukrum live together in an uneasy peace.
avarangian,Peace,squalex,Peace,Both /u/avarangian and /u/squalex live together in an uneasy peace.
pohtahtoe,Peace,unicornbomber,Peace,Both /u/pohtahtoe and /u/unicornbomber live together in an uneasy peace.
hangmanchamp,Peace,nstarz,Peace,Both /u/hangmanchamp and /u/nstarz live together in an uneasy peace.
briannasaurusrex92,Peace,shaveslavers,Peace,Both /u/briannasaurusrex92 and /u/shaveslavers live together in an uneasy peace.
xtarification,Peace,weston1108,Peace,Both /u/xtarification and /u/weston1108 live together in an uneasy peace.
dveo,Peace,wjs12,Peace,Both /u/dveo and /u/wjs12 live together in an uneasy peace.
drlucidreverie,Peace,jslev9,Peace,Both /u/drlucidreverie and /u/jslev9 live together in an uneasy peace.
topol_m1,Peace,jacobepping,Peace,Both /u/topol_m1 and /u/jacobepping live together in an uneasy peace.
jas175,Peace,sortingalgorithm,Nuke,"/u/sortingalgorithm strikes first, but with /u/jas175's Second Strike protocol, both get annihilated."
metroid_slayer,Peace,lightraie,Peace,Both /u/metroid_slayer and /u/lightraie live together in an uneasy peace.
rhazior,Peace,uconnhusky,Peace,Both /u/rhazior and /u/uconnhusky live together in an uneasy peace.
