a.user|a.choice|b.user|b.choice|end
twitchy775|Peace|punkterminator|Peace|Both /u/twitchy775 and /u/punkterminator live together in an uneasy peace.
graviton_beam|Peace|zantary|Peace|Both /u/graviton_beam and /u/zantary live together in an uneasy peace.
victoriousyoungtriad|Peace|songstressindistress|Peace|Both /u/victoriousyoungtriad and /u/songstressindistress live together in an uneasy peace.
grosscoconuts|Peace|krtkneki|Peace|Both /u/grosscoconuts and /u/krtkneki live together in an uneasy peace.
flyingmonkeyssaymoo|Peace|auramgold|Peace|Both /u/flyingmonkeyssaymoo and /u/auramgold live together in an uneasy peace.
the_kazaakplethkilik|Peace|aloneapart|Peace|Both /u/the_kazaakplethkilik and /u/aloneapart live together in an uneasy peace.
flaming_pulsar|Nuke|namedbyafish|Peace|/u/flaming_pulsar strikes first, but with /u/namedbyafish's Second Strike protocol, both get annihilated.
hugesf|Peace|whisdeth|Peace|Both /u/hugesf and /u/whisdeth live together in an uneasy peace.
thatwriterfriend|Peace|11111000000b|Nuke|/u/11111000000b strikes first, but with /u/thatwriterfriend's Second Strike protocol, both get annihilated.
pohtahtohg|Nuke|dalibar|Peace|/u/pohtahtohg strikes first, but with /u/dalibar's Second Strike protocol, both get annihilated.
_kissmexoxo|Peace|mrballoon_hands|Peace|Both /u/_kissmexoxo and /u/mrballoon_hands live together in an uneasy peace.
pm_me_silly_secrets|Peace|vowelss|Peace|Both /u/pm_me_silly_secrets and /u/vowelss live together in an uneasy peace.
spfifle|Peace|duzzles|Peace|Both /u/spfifle and /u/duzzles live together in an uneasy peace.
dailyarmageddon|Peace|_eggpiant_|Peace|Both /u/dailyarmageddon and /u/_eggpiant_ live together in an uneasy peace.
davidthewalkerx|Peace|schemindemon|Peace|Both /u/davidthewalkerx and /u/schemindemon live together in an uneasy peace.
pyar23|Peace|a_dam_ste|Peace|Both /u/pyar23 and /u/a_dam_ste live together in an uneasy peace.
aspiringinsomniac|Peace|dirtydan413|Nuke|/u/dirtydan413 strikes first, but with /u/aspiringinsomniac's Second Strike protocol, both get annihilated.
awsumpizzadude|Peace|mm1491|Peace|Both /u/awsumpizzadude and /u/mm1491 live together in an uneasy peace.
noobhunter777|Peace|dveo|Peace|Both /u/noobhunter777 and /u/dveo live together in an uneasy peace.
lordllamahat|Peace|nemesys2005|Peace|Both /u/lordllamahat and /u/nemesys2005 live together in an uneasy peace.
thesugarbowl|Peace|tatertalker|Nuke|/u/tatertalker strikes first, but with /u/thesugarbowl's Second Strike protocol, both get annihilated.
pili_in_ibiza|Peace|pepsilover1|Peace|Both /u/pili_in_ibiza and /u/pepsilover1 live together in an uneasy peace.
sortingalgorithm|Nuke|pm_meyourcoffee|Peace|/u/sortingalgorithm strikes first, but with /u/pm_meyourcoffee's Second Strike protocol, both get annihilated.
henricy|Peace|briannasaurusrex92|Peace|Both /u/henricy and /u/briannasaurusrex92 live together in an uneasy peace.
thatyahoo|Peace|1585881|Peace|Both /u/thatyahoo and /u/1585881 live together in an uneasy peace.
pohtahtoe|Peace|hunter5226|Peace|Both /u/pohtahtoe and /u/hunter5226 live together in an uneasy peace.
kmrst|Peace|chan1150|Nuke|/u/chan1150 strikes first, but with /u/kmrst's Second Strike protocol, both get annihilated.
xtarification|Peace|pixel871|Peace|Both /u/xtarification and /u/pixel871 live together in an uneasy peace.
redmanb|Nuke|onlytoask|Peace|/u/redmanb strikes first, but with /u/onlytoask's Second Strike protocol, both get annihilated.
shining_|Peace|cocochica33|Peace|Both /u/shining_ and /u/cocochica33 live together in an uneasy peace.
skarm137|Nuke|pablothemexican7|Peace|/u/skarm137 strikes first, but with /u/pablothemexican7's Second Strike protocol, both get annihilated.
bobito5|Nuke|aberger|Peace|/u/bobito5 strikes first, but with /u/aberger's Second Strike protocol, both get annihilated.
drlucidreverie|Peace|crappylaptop|Peace|Both /u/drlucidreverie and /u/crappylaptop live together in an uneasy peace.
anymonous|Peace|swagmasterrs|Peace|Both /u/anymonous and /u/swagmasterrs live together in an uneasy peace.
joejoemojo|Peace|femma|Peace|Both /u/joejoemojo and /u/femma live together in an uneasy peace.
jompeter01|Peace|no|Peace|Both /u/jompeter01 and /u/no live together in an uneasy peace.
johnnysmart|Peace|sovietvvinter|Peace|Both /u/johnnysmart and /u/sovietvvinter live together in an uneasy peace.
topol_m1|Peace|cloneman95|Nuke|/u/cloneman95 strikes first, but with /u/topol_m1's Second Strike protocol, both get annihilated.
spectreshep|Peace|dukecounter|Peace|Both /u/spectreshep and /u/dukecounter live together in an uneasy peace.
iredditontheradio|Peace|xaplostras|Peace|Both /u/iredditontheradio and /u/xaplostras live together in an uneasy peace.
usernameisalie|Peace|blmzd|Peace|Both /u/usernameisalie and /u/blmzd live together in an uneasy peace.
cyberrubyfox|Peace|apoptopsicle|Peace|Both /u/cyberrubyfox and /u/apoptopsicle live together in an uneasy peace.
telepac|Peace|altoidian|Peace|Both /u/telepac and /u/altoidian live together in an uneasy peace.
venerablecow|Peace|elvysaur|Peace|Both /u/venerablecow and /u/elvysaur live together in an uneasy peace.
hangmanchamp|Peace|caninuswhitus|Peace|Both /u/hangmanchamp and /u/caninuswhitus live together in an uneasy peace.
akmusher|Peace|netherlewis|Peace|Both /u/akmusher and /u/netherlewis live together in an uneasy peace.
redtheta|Peace|ssabethh|Peace|Both /u/redtheta and /u/ssabethh live together in an uneasy peace.
ninkendo|Peace|azazelsheep|Peace|Both /u/ninkendo and /u/azazelsheep live together in an uneasy peace.
billymahs|Nuke|tlmb0|Nuke|Both /u/billymahs and /u/tlmb0 strike, and both get annihilated.
newme274|Peace|penguinick77|Peace|Both /u/newme274 and /u/penguinick77 live together in an uneasy peace.
apflamous|Peace|jacobepping|Peace|Both /u/apflamous and /u/jacobepping live together in an uneasy peace.
not_a_plane_either|Peace|enjoyslongwalks|Peace|Both /u/not_a_plane_either and /u/enjoyslongwalks live together in an uneasy peace.
imsomature69|Peace|j_fat_snorlax|Peace|Both /u/imsomature69 and /u/j_fat_snorlax live together in an uneasy peace.
dagsaroni|Peace|nephdaddy8|Nuke|/u/nephdaddy8 strikes first, but with /u/dagsaroni's Second Strike protocol, both get annihilated.
yourmomisawhorehole|Peace|ruschnav|Peace|Both /u/yourmomisawhorehole and /u/ruschnav live together in an uneasy peace.
ryvell|Peace|sircutry|Peace|Both /u/ryvell and /u/sircutry live together in an uneasy peace.
rthztzfhuztfhu|Peace|moovlin|Peace|Both /u/rthztzfhuztfhu and /u/moovlin live together in an uneasy peace.
rara623|Peace|mistressliliana|Peace|Both /u/rara623 and /u/mistressliliana live together in an uneasy peace.
usespython|Peace|schutterke|Peace|Both /u/usespython and /u/schutterke live together in an uneasy peace.
mrpilotgamer|Peace|vanarn|Peace|Both /u/mrpilotgamer and /u/vanarn live together in an uneasy peace.
vukrum|Peace|ravistay|Peace|Both /u/vukrum and /u/ravistay live together in an uneasy peace.
mentos68|Peace|orthanit|Peace|Both /u/mentos68 and /u/orthanit live together in an uneasy peace.
unitconversion|Peace|kanimaki|Nuke|/u/kanimaki strikes first, but with /u/unitconversion's Second Strike protocol, both get annihilated.
dinomannitro6|Peace|itsbentheboy|Peace|Both /u/dinomannitro6 and /u/itsbentheboy live together in an uneasy peace.
wjs12|Peace|squalex|Peace|Both /u/wjs12 and /u/squalex live together in an uneasy peace.
steaknsteak|Peace|jslev9|Peace|Both /u/steaknsteak and /u/jslev9 live together in an uneasy peace.
seanbckb|Nuke|scubaduck|Peace|/u/seanbckb strikes first, but with /u/scubaduck's Second Strike protocol, both get annihilated.
natevh1|Peace|cg5|Peace|Both /u/natevh1 and /u/cg5 live together in an uneasy peace.
pricelesshats|Peace|avarangian|Peace|Both /u/pricelesshats and /u/avarangian live together in an uneasy peace.
quiethi|Peace|xor50|Nuke|/u/xor50 strikes first, but with /u/quiethi's Second Strike protocol, both get annihilated.
nosdarb|Peace|moithirteen|Peace|Both /u/nosdarb and /u/moithirteen live together in an uneasy peace.
luctations|Peace|throwaway133379001|Peace|Both /u/luctations and /u/throwaway133379001 live together in an uneasy peace.
numberlesswake|Peace|stravalition|Peace|Both /u/numberlesswake and /u/stravalition live together in an uneasy peace.
bear_cop|Peace|wakub|Nuke|/u/wakub strikes first, but with /u/bear_cop's Second Strike protocol, both get annihilated.
shaveslavers|Peace|perntdoast|Peace|Both /u/shaveslavers and /u/perntdoast live together in an uneasy peace.
kelsig|Peace|hypergraphia|Peace|Both /u/kelsig and /u/hypergraphia live together in an uneasy peace.
andydandy162|Nuke|thewalkinggnome|Nuke|Both /u/andydandy162 and /u/thewalkinggnome strike, and both get annihilated.
throw-away-670|Peace|zonination|Peace|Both /u/throw-away-670 and /u/zonination live together in an uneasy peace.
-pikajew|Peace|hushsquared|Peace|Both /u/-pikajew and /u/hushsquared live together in an uneasy peace.
incrediblestrawberry|Nuke|sammyterrybelzer|Nuke|Both /u/incrediblestrawberry and /u/sammyterrybelzer strike, and both get annihilated.
lemmyk|Peace|a5yl|Peace|Both /u/lemmyk and /u/a5yl live together in an uneasy peace.
strattonschippers|Peace|65rytg|Nuke|/u/65rytg strikes first, but with /u/strattonschippers's Second Strike protocol, both get annihilated.
tkaish|Peace|p0tet|Peace|Both /u/tkaish and /u/p0tet live together in an uneasy peace.
casca_uk|Peace|fire1299|Peace|Both /u/casca_uk and /u/fire1299 live together in an uneasy peace.
ctclif|Peace|fallon758|Peace|Both /u/ctclif and /u/fallon758 live together in an uneasy peace.
lightraie|Peace|grkpgn|Peace|Both /u/lightraie and /u/grkpgn live together in an uneasy peace.
summertime214|Peace|t78lego|Peace|Both /u/summertime214 and /u/t78lego live together in an uneasy peace.
aguirre1pol|Peace|roarkitty|Nuke|/u/roarkitty strikes first, but with /u/aguirre1pol's Second Strike protocol, both get annihilated.
dottydani|Peace|afdsfasf|Peace|Both /u/dottydani and /u/afdsfasf live together in an uneasy peace.
jeray2000|Peace|tashalovessharks|Peace|Both /u/jeray2000 and /u/tashalovessharks live together in an uneasy peace.
4rewq|Peace|eyebrowsforeveryone|Nuke|/u/eyebrowsforeveryone strikes first, but with /u/4rewq's Second Strike protocol, both get annihilated.
samjam2098|Peace|scholar_requesting|Peace|Both /u/samjam2098 and /u/scholar_requesting live together in an uneasy peace.
legosp7|Peace|gonumen|Nuke|/u/gonumen strikes first, but with /u/legosp7's Second Strike protocol, both get annihilated.
anotherturingmachine|Peace|crocostix|Peace|Both /u/anotherturingmachine and /u/crocostix live together in an uneasy peace.
dragonheart000|Peace|97ft|Nuke|/u/97ft strikes first, but with /u/dragonheart000's Second Strike protocol, both get annihilated.
makingitpurple|Peace|twa7|Peace|Both /u/makingitpurple and /u/twa7 live together in an uneasy peace.
tridentboy|Nuke|unicornbomber|Peace|/u/tridentboy strikes first, but with /u/unicornbomber's Second Strike protocol, both get annihilated.
nerosmith|Nuke|onesixtyseven|Peace|/u/nerosmith strikes first, but with /u/onesixtyseven's Second Strike protocol, both get annihilated.
imlikesocool|Peace|edihau|Peace|Both /u/imlikesocool and /u/edihau live together in an uneasy peace.
the_glass_cannon|Nuke|endemiclegacy|Peace|/u/the_glass_cannon strikes first, but with /u/endemiclegacy's Second Strike protocol, both get annihilated.
blooor|Peace|thegeneralx|Peace|Both /u/blooor and /u/thegeneralx live together in an uneasy peace.
